Time (s),Race Time,Speed,Gs
7.6,0.0,30,1.17
7.63,0.0,27,1.43
7.67,0.0,25,1.12
7.7,0.0,24,1.51
7.73,0.0,26,1.59
7.77,0.0,28,1.72
7.8,0.0,29,1.79
7.83,0.0,26,1.18
7.87,0.0,25,1.22
7.9,0.0,23,1.37
7.93,0.0,23,1.54
7.97,0.0,23,1.67
8.0,0.0,23,1.52
8.03,0.0,23,1.1
8.07,0.0,22,1.55
8.1,0.0,22,1.61
8.13,0.0,21,1.76
8.17,0.0,21,1.53
8.2,0.0,22,1.69
8.23,0.0,25,1.13
8.27,0.0,27,1.09
8.3,0.0,30,1.73
8.33,0.0,32,1.31
8.37,0.0,33,1.75
8.4,0.0,34,0.71
8.43,0.0,36,0.54
8.47,0.0,39,0.91
8.5,0.0,39,1.04
8.53,0.0,36,1.09
8.57,0.0,33,1.3
8.6,0.0,30,1.39
8.63,0.0,30,1.38
8.67,0.0,29,1.46
8.7,0.0,29,1.78
8.73,0.0,28,1.86
8.77,0.0,27,1.61
8.8,0.0,28,1.06
8.83,0.0,29,0.98
8.87,0.0,30,1.51
8.9,0.0,29,1.42
8.93,0.0,29,1.08
8.97,0.0,29,1.08
9.0,0.0,29,1.0
9.03,0.0,30,0.88
9.07,0.0,30,0.96
9.1,0.0,30,1.0
9.13,0.0,31,0.92
9.17,0.0,31,0.9
9.2,0.0,32,0.85
9.23,0.0,34,0.63
9.27,0.0,35,0.49
9.3,0.0,37,0.48
9.33,0.0,39,0.84
9.37,0.0,42,1.05
9.4,0.0,41,1.58
9.43,0.0,42,1.17
9.47,0.0,43,1.2
9.5,0.0,44,1.56
9.53,0.0,46,1.1
9.57,0.0,48,0.83
9.6,0.0,48,0.94
9.63,0.0,45,1.17
9.67,0.0,44,1.4
9.7,0.0,44,1.68
9.73,0.0,46,1.58
9.77,0.0,46,1.56
9.8,0.0,47,1.45
9.83,0.0,48,1.53
9.87,0.0,48,1.58
9.9,0.0,48,0.93
9.93,0.0,48,0.71
9.97,0.0,48,0.61
10.0,0.0,49,0.6
10.03,0.0,49,0.37
10.07,0.0,49,0.31
10.1,0.0,49,0.72
10.13,0.0,49,0.83
10.17,0.0,50,0.81
10.2,0.0,50,0.86
10.23,0.0,50,0.92
10.27,0.0,49,1.41
10.3,0.0,49,1.42
10.33,0.0,50,1.68
10.37,0.0,50,1.49
10.4,0.0,50,1.12
10.43,0.0,50,1.29
10.47,0.0,51,1.18
10.5,0.0,51,1.46
10.53,0.0,51,1.28
10.57,0.0,51,1.45
10.6,0.0,51,1.37
10.63,0.0,51,1.3
10.67,0.0,51,1.44
10.7,0.0,51,1.29
10.73,0.0,51,1.07
10.77,0.0,51,1.22
10.8,0.0,51,0.53
10.83,0.0,52,0.75
10.87,0.0,53,0.83
10.9,0.0,51,1.28
10.93,0.0,51,1.53
10.97,0.0,53,1.27
11.0,0.0,56,0.73
11.03,0.0,57,0.74
11.07,0.0,57,0.92
11.1,0.0,59,1.22
11.13,0.0,59,1.22
11.17,0.0,58,1.19
11.2,0.0,58,1.3
11.23,0.0,58,1.2
11.27,0.0,61,1.31
11.3,0.0,61,1.67
11.33,0.0,63,1.77
11.37,0.0,64,1.63
